titulo,preco,preco_antigo,desconto,link
Notbook Lenovo T480 Intel Core I5-83350u 16gb Ssd 256gb 14 - Excelente (Recondicionado),2.508,,,https://www.mercadolivre.com.br/notbook-lenovo-t480-intel-core-i5-83350u-16gb-ssd-256gb-14-excelente-recondicionado/p/MLB2010936400#polycard_client=search-desktop&search_layout=grid&position=1&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4506271699&sid=search
Notebook Lenovo Thinkpad T480 Core I5 8gb Ssd 256gb 14 Preto (Recondicionado),1.949,,,https://www.mercadolivre.com.br/notebook-lenovo-thinkpad-t480-core-i5-8gb-ssd-256gb-14/up/MLBU2939957706#polycard_client=search-desktop&search_layout=grid&position=2&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB5247730210&sid=search
Notbook Lenovo T495 Amd Ryzen 3 Pro 16gb Ssd 256gb 14 Preto (Recondicionado),2.299,,,https://www.mercadolivre.com.br/notbook-lenovo-t495-amd-ryzen-3-pro-16gb-ssd-256gb-14/up/MLBU3566186942#polycard_client=search-desktop&search_layout=grid&position=3&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB5936411440&sid=search
Notbook 2 Em 1 Tablet Intel Atom Memoria 2gb Win Mg0029 Mgb Branco,699,699,8% OFF no Pix,https://www.mercadolivre.com.br/notbook-2-em-1-tablet-intel-atom-memoria-2gb-win-mg0029-mgb/up/MLBU3241757233#polycard_client=search-desktop&search_layout=grid&position=4&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB5442946848&sid=search
"Notebook HP IA PC Probook 14"" 440 G11 I Intel Core Ultra 5-125u, 16GB RAM, SSD 512GB, Windows 11 Home - SKU CL5X4LA",6.569,6.569,29% OFF,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=kgu4XoDh6O0Bo9VppzC5%2FmmYuYT5Ks%2F4KizPeay47mUje%2F0qTuUbPwl759HLxT%2Fa72RnTkysNxFq0eDrVzFW%2B6LPE51ykSDSxz0dXlv%2FDFB3zhynOgF%2FbbrqdRZIZwZC7yU0Mq1JmcCDnnwWU%2BozozF2F8BB6eZw4XNj2q0Z2rAcNW6W5ogJTv%2BPPmucGy25tzh%2FAN3PEoUVTq1%2FZf02fplWgY1YmEMY2I%2B47GBcz9lBfLwFcDuYm4mY2RtyBqLkqsDdO1nzOwcjYp3huQLjA%2BfBnJU6CjwxrwALjeAvf0jtxY6dUxoDNGpI%2B3vGcXctWfyE4tRjBK%2F47hudrn2WMr3g94glEo%2FMm4HD6YkUzV9%2FVPBG1r3m2X6pgJ2%2FZphSDQhbZMhnreVKPizdLpdALZHxoqbXzGLjodpJ4KhX%2B1OzlvKSBKrB3xBrNtRTypPeS%2Fu8KqVvzXsHIwSYPDQQwMVAFeFgFuNjwKTJawQfCx126EB4gLdTMGpni2hU7EF%2BIr%2BbOquDJsbOG5ktYl4l3MZf2wndD%2BmaoCv7NdeyLUmKBd90uhr0Gi4AoHkrZPujZxqoxe%2BuQKuNnpsR7OLeI6ii6V3JHGwcBmUo9oHZJ%2F9dLJjp6zdiNrjKiWsl6i6HErFDkjsWDTThvkXsmYIrsW5f4dfET%2BzzaoXnoDcGKs0irFJGl8FF4e6DAGHsKk3iplJOincL6WVNyqNBX59b83%2BXbOSi%2FAWdDO6UqNLeQu9eqPvNT%2F7jmRZgTVShNn%2B9SCwqgfOZ9ayxfmcLNluuFJ%2F95Ky7MisXgiEw4Whw7FCMg5aFSmztAeQ%2FfOjDCHC5chne1jDEbWyjMKnDUxv0Xw16xcglViST7a8A9y%2B4EQpCHRuLnVFef3kdPr5KEyLi2ch33v72eopRqxvihvH7NbOphVYwMd4KTMWwW3t3moUPUASp%2Bgrdf3LZ%2FiwZVvrVGH%2FaMlLxZ2SHWxblYRm6OwzML101hFjfquZxXBtXSfMGUPDMmla2bwGYG5z2drxEsSL%2BzkUF45Z8dO1YQPsgaIyeGWl7R%2FwRxOAEPoLlUxlEBcC0uxpz0Q%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB57503810&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=5&type=pad&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4256048237&sid=search
Acer Predator Helios Neo PHN16-72-99MY Intel Ci9 14ªGeração 32GB 1TB SSD RTX4070 Windows11 Cor Preto,20.999,20.999,44% OFF no Pix,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=7wrn9lv9WwNKKKjI0%2F%2B0E3R%2FIZLmoG0%2FYLumpd%2FoucZPJAP2dDz3C4JxOZXSnbrTBA1nuqz14t8fqqvSiy%2BZXmf2JUZJhSySRIOvtoMmgqirqh9iKMiL4vKPLIpv7uLz8OvjDM9HySW2tYoGHbaz%2FQCO1r4sVhRhghPkBmY8eY0vrBStRw%2FOu5QAcWh5PMuVcs61E4DmjI71VB2%2FOeYT8Os6a74BMpKb4wAK5Mb7cz1xAkE1e9c1W7IIgqhE3UB0F%2FJODLKTQhbggOULAq7YREGYVEAwcPvMKqbajql%2BvuWo9OLwwYru9n6qFpUISUqrv612JdpVEgE6jAtHOd9Jxs5O8WX77Ya%2B5FQD%2B%2FkCPVRfWwtyyJ8h9YCL1j2coJrpdRd%2Fy0wySzeoMjqLl0S1DOOMbj9S%2B2iDF77JBtGlrHG9uTISnxaTPs7QMBsvGhJBpW7%2Bf9dygauZuNBM1g80hWzMuFC4%2BAm%2FVvMP7%2FotZ4Z%2FMSPmVHez2bh%2BhvVJYTwCqIj4PHYYXBzDRYzC3kcMFACSjZ2NVQ9RHd6YeLb2Ep4obl8tj%2FbQZ2SlNWehVxFCTEcVTWu8jNTQfAPnO3%2BeD2iKTkeV9obu0bKwwdasfxZY9Yo3hLL35BQDvAzQ5cJjfIUCddXEDEGrhVXu02xMc7EcWXhR3ZtcnCPtEQMW1p2gEZrYAnLmCVGVOwhw8u9p1rebnBJ24c9nmweuwWN4xoZAmwrzycH8m0rQ%2Bmxgz2EmNwXWHMXjK%2FSV0RE7Q6SjLgVW0F%2FbSm%2BzoGNU8VEVb4X1m66C3zG%2FFm9%2F52rLo9LM64a1YAsN7UItBahFcTrz2E5vK81pGF3fufBfLNxI7N9tqNV8%2Bb6x%2B0xSHlG%2FJ0B7Lw5Wqo15%2BpAk74q3R5SHgb8t87dGQ8Ti0njpKiHLqSSpKT2b%2Fy9UOMul8u5Cz%2BWIaCsGyHQIc7ula2IF1jbNN0iu%2Fc3StvW7HvxH0HslHKqu2VcNZpYdcE2GF7cLu4spfa1VUSRW6i8cXhTnOOPknyO27L0bNg64ZkApx%2FHxtRd9rxCnrv%2Fd%2BsGmiA%3D%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB44296157&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=6&type=pad&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4387645975&sid=search
"Notebook ASUS Vivobook Go 15 E1504, AMD RYZEN 5 7520U 2,8 GHz, 8GB Ram, 256GB SSD, Windows 11 Home, Tela 15,6"" FHD, Black - E1504FA-NJ825W",7.000,7.000,54% OFF no Pix ou Saldo no Mercado Pago,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=pVqF879MKDHH23PEUjQ0KxN6t8JIK7yM3z28MNpjGq9jlRufU9ZD1lYP4n5X3Uet5c%2F20o44aVpVjjXWvpCKNL%2F%2BrI56wZ6alEdzxoyvPxDKjeUccn1mtZMsUaDIKE3H5X2ZulWtllhRW%2FTEGRCoUxlIfQVs75UaIno%2Brf0lXAnaAtKlK7BrCnacwU59eATBhSqvlhg11xAFGX92KOPtIPYrQ%2B2bgsMjEI54j%2BkAkvafEg7VgNJ7s0twSOecFl%2FXpgrFlt8HGRPodd5VwC02mT8xz7zupgrLUvGTdIXaQ4SVyWwCjAJmCo%2BLPJ5Kzo6USly5Jd8%2B08crIhDLWHRz8HnsVdzLGTAUXFDxFHv2xpkP4v%2FNMOemwcOqdm1CVwF7ZyfngkvaSTCSl%2Fe7%2FjmOHFXxTnJvDycrEgXJ37U%2B6Veo8%2FsdVVdBdA8zYXNAaTLeVehqIwTz%2Fr8FJVZnbb5fY%2FKdtOLQkGZpZOskCrn71fJ03GyU2jz%2BzeLCUnVVbRM03JQNROrQmfbe3kuU4pp7dwYvNfzHDFtlNmalIwN8Sl7eG1yykMEkwagd4qnP27lrY5QremXQNyteadZ8c858B2a31K7ND5NNObu7Ly50MieH8DBPQZMmqFLUvsXWz%2F2MdU8jwVwYGBYqx9w%2FTg6vAnfLU2eEBVzPc82Nk6d3aulqy5PR%2FgcIhthiB4EQxfiKFb4lcBvnP81pWuqRgbZ5qJ7LCzWJbwsDWRCkdydUOB4JTRxsKH%2F%2Bvuxoq7ZZ554HewzmJG8C7T2zl0UWOM2nkZfl4P4wO%2Bcb1nRD4VDao1mn5ctnsLAUdbtkN749illoHr6j3p2y%2F7A9%2FNykLJEeq8%2FQc9SPo69dgPIgzv6NnI%2FvDNpliHpE4id5n4wA6NfcFJYlWIpucVRssfKzYCZREKS1jLbz4%2Bf9cqWT5ozHhh7GJPC9eLa6fnwoWhR%2FXTqGf45dYCgQ0q8GMfJla4bkBWK5ukDdx9rAbILgYcccC0HBdMpSAVlKDnWOqjWVbwuUVFnujfvPYRl1ZXsg15yVa7fV3Vg8USASTXyYHAoqCiozilUTE3j2Cpw7C9s4IDHdZFOY5Xqz0a4%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB29126536&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=7&type=pad&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB6073099828&sid=search
Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,2.064,2.064,39% OFF no Pix,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=U9ef5WxJmal4L%2BicQL746tLIz%2F6DD%2FUp2sjEad%2FFeuNr78WhX15KO%2FCPp4luKcEDKCOjgf%2B3kYRHL6w7XQ%2BfBcQxC0IKekKlkhrDUwXVQ50K9LuJUurTF8C84umPzftl6e38XpPEfa7EpHHR5rwoD2RlAGQJETO6mrwELHZ5zeGdChRYlEPhKMRAvAhnKYCEsAAJT4alRq9UVLrd8pyELPVG1ewoTE7qEtDV%2F4%2FaUYC9CcSiDGz%2FwbGR0LmQqD6TOtUIl%2BXozoxLvB%2BbjeyaAtjmk1JBs5Fw1LxrHBctS703ReOJeGntzGBcxTprt%2BT5ubNWSBGc5qlNI1m7NjSzMyQuyWSOGt7Mm8xfVxMO98zctzYVrIP07tDluuaC0nve%2Bj5%2BxGKi%2Fh%2BBHFJdnUVs%2F20rr9q8%2FfzaYBkbK0PhNeBtBq99QZITOckzHDPVwmzwaf1%2BylFx0TosY4SArUsLTfqUNh2MhmfKhI4k5geL9U587X0%2Bv85T5UNALzIdUTROgdY%2FbqDPY2fxOS1Hs7z2%2BDDlvholqmyUId4lE4rco%2BeVFLOL7AbEfabhczZjZba5iGxma4a2oMxsD2YosrVym0jpPdL1OuCYFZxBXtcufhqCSyLNBGYZs8Q%2BXb%2FoYeDQBMlMnx188h8cbiXAxySgq%2FufC3CREJI5uUwSoKDz%2Fz5uLvMOOTFafbPaG9NAEYV008A%2F0XUtHPez42C6GUT28%2BaoFbe9nDrJK6V3mm3zfGDa76Mta6FwU%2FoxgAnxr%2FK%2FluLD7eFyq0Bu9tfR3pvG%2Fm%2FSO1RdBgbw5ao6F%2BUsPzf%2B%2BjyTZ0Su7cky8M%2Buc3CXus1MnuR8UngQAXqmt7UdYo2y9V5ix0GEn9xDF8UuKP9Oxz5WiFsLNA%2F72YJtmzcLONLDv5wRZ0oRINkXInDE3%2BIrK2v%2FMVLAbOs6Va0ggNCwltrM3pnWnfNYv9vb6JlMa9gRvhZkq9Yu83iOp0AdKlagynYLadAggnQiTUg94tg%3D#polycard_client=search-desktop&is_advertising=true&searchVariation=MLB32101651&backend_model=sup_pads_rars_pdp_pads_up_v2_with_defaults&search_layout=grid&position=8&type=pad&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB3988106227&sid=search
Notbook Acer  Travelmate P N16p7 I5 De7° Preto (Recondicionado),2.099,2.099,14% OFF,https://www.mercadolivre.com.br/notbook-acer--travelmate-p-n16p7-i5-de7/up/MLBU3756244213#polycard_client=search-desktop&search_layout=grid&position=9&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB4449741397&sid=search
Notbook Infoway W7435 Preto,480,,,https://www.mercadolivre.com.br/notbook-infoway-w7435/up/MLBU3039346682#polycard_client=search-desktop&search_layout=grid&position=10&type=product&tracking_id=3317fe6f-b646-48e9-833b-c7494ea7db98&wid=MLB5299447012&sid=search
